"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test converting column names to lowercase.","37","test_convert_column_names_to_lowercase","","Fri Jan 24 14:12:10 GMT 2025","passed","Fri Jan 24 14:12:10 GMT 2025","","test_order_lines","",""
"Test cleaning ORDER_QTY and DELIVERY_QTY columns.","536","test_clean_order_qty_and_delivery_qty","","Fri Jan 24 14:12:08 GMT 2025","passed","Fri Jan 24 14:12:09 GMT 2025","","test_order_lines","",""
"Test cleaning and transforming order lines data.","722","test_clean_order_lines_data","","Fri Jan 24 14:12:10 GMT 2025","passed","Fri Jan 24 14:12:11 GMT 2025","","test_order_lines","",""
"Test cleaning ACTUAL_DELIVERY_DATE column.","220","test_clean_actual_delivery_date","","Fri Jan 24 14:12:09 GMT 2025","passed","Fri Jan 24 14:12:10 GMT 2025","","test_order_lines","",""
"Test filtering unwanted values.","205","test_filter_unwanted_values","","Fri Jan 24 14:12:10 GMT 2025","passed","Fri Jan 24 14:12:10 GMT 2025","","test_order_lines","",""
"Test loading order lines data.","1492","test_load_order_lines_data","","Fri Jan 24 14:12:04 GMT 2025","passed","Fri Jan 24 14:12:06 GMT 2025","","test_order_lines","",""
"Test cleaning ORDER_ID and PRODUCT_ID columns.","2300","test_clean_order_id_and_product_id","","Fri Jan 24 14:12:06 GMT 2025","passed","Fri Jan 24 14:12:08 GMT 2025","","test_order_lines","",""
"Test cleaning AGREED_DELIVERY_DATE column.","383","test_clean_agreed_delivery_date","","Fri Jan 24 14:12:09 GMT 2025","passed","Fri Jan 24 14:12:09 GMT 2025","","test_order_lines","",""
"Test dropping null values.","180","test_drop_null_values","","Fri Jan 24 14:12:10 GMT 2025","passed","Fri Jan 24 14:12:10 GMT 2025","","test_order_lines","",""
"Test filtering invalid quantities.","254","test_filter_invalid_quantities","","Fri Jan 24 14:12:09 GMT 2025","passed","Fri Jan 24 14:12:09 GMT 2025","","test_order_lines","",""
